id,Latitud,Longitud,Altitud
31d1bd6a-d0da-11f0-9ba0-fc3fdb83b633,9.797417,-84.597306,
31d1bfc7-d0da-11f0-9ba0-fc3fdb83b633,9.796361,-84.594806,25
31d1c0b9-d0da-11f0-9ba0-fc3fdb83b633,9.796361,-84.594944,
31d1c11b-d0da-11f0-9ba0-fc3fdb83b633,9.796361,-84.594944,25
31d1c175-d0da-11f0-9ba0-fc3fdb83b633,9.812583,-84.606333,
31d1c1cd-d0da-11f0-9ba0-fc3fdb83b633,9.812583,-84.606333,45
31d1c226-d0da-11f0-9ba0-fc3fdb83b633,9.775361,-84.605806,41
31d1c277-d0da-11f0-9ba0-fc3fdb83b633,9.775361,-84.605806,
31d1c2cc-d0da-11f0-9ba0-fc3fdb83b633,9.771667,-84.607972,
31d1c321-d0da-11f0-9ba0-fc3fdb83b633,9.771056,-84.607639,38
31d1c376-d0da-11f0-9ba0-fc3fdb83b633,9.771083,-84.607861,36
31d1c3c8-d0da-11f0-9ba0-fc3fdb83b633,9.771083,-84.607861,
31d1c41e-d0da-11f0-9ba0-fc3fdb83b633,9.770722,-84.607528,46
31d1c46f-d0da-11f0-9ba0-fc3fdb83b633,9.770722,-84.607528,
31d1c4c7-d0da-11f0-9ba0-fc3fdb83b633,9.7705,-84.608306,50
31d1c519-d0da-11f0-9ba0-fc3fdb83b633,9.770333,-84.608167,
31d1c56e-d0da-11f0-9ba0-fc3fdb83b633,9.770333,-84.608167,53
31d1c5c1-d0da-11f0-9ba0-fc3fdb83b633,9.769889,-84.608167,
31d1c616-d0da-11f0-9ba0-fc3fdb83b633,9.769889,-84.608528,47
31d1c667-d0da-11f0-9ba0-fc3fdb83b633,9.769889,-84.608528,
31d1c6b1-d0da-11f0-9ba0-fc3fdb83b633,9.811278,-84.5825,
31d1c705-d0da-11f0-9ba0-fc3fdb83b633,9.811278,-84.5825,81
31d1c757-d0da-11f0-9ba0-fc3fdb83b633,9.794444,-84.597222,84
31d1c7a5-d0da-11f0-9ba0-fc3fdb83b633,9.794444,-84.597222,
31d1c7ed-d0da-11f0-9ba0-fc3fdb83b633,9.769639,-84.605972,
31d1c837-d0da-11f0-9ba0-fc3fdb83b633,9.769639,-84.605972,88
31d1c885-d0da-11f0-9ba0-fc3fdb83b633,9.770833,-84.605694,95
31d1c8d6-d0da-11f0-9ba0-fc3fdb83b633,9.770833,-84.605694,
31d1c927-d0da-11f0-9ba0-fc3fdb83b633,9.770667,-84.605056,
31d1c978-d0da-11f0-9ba0-fc3fdb83b633,9.771667,-84.607694,
31d1c9cd-d0da-11f0-9ba0-fc3fdb83b633,9.770667,-84.605056,87
31d1ca20-d0da-11f0-9ba0-fc3fdb83b633,9.771667,-84.607694,91
31d1ca75-d0da-11f0-9ba0-fc3fdb83b633,9.807611,-84.577,32
31d1cac8-d0da-11f0-9ba0-fc3fdb83b633,9.807611,-84.577,
31d1cb1d-d0da-11f0-9ba0-fc3fdb83b633,9.807361,-84.576917,33
31d1cb73-d0da-11f0-9ba0-fc3fdb83b633,9.807333,-84.57675,33
31d1cbc6-d0da-11f0-9ba0-fc3fdb83b633,9.807333,-84.57675,
31d1cc1b-d0da-11f0-9ba0-fc3fdb83b633,9.807,-84.576361,40
31d1cc6d-d0da-11f0-9ba0-fc3fdb83b633,9.80775,-84.576694,
31d1ccc0-d0da-11f0-9ba0-fc3fdb83b633,9.808222,-84.575639,37
31d1cd12-d0da-11f0-9ba0-fc3fdb83b633,9.805778,-84.579806,
31d1cd64-d0da-11f0-9ba0-fc3fdb83b633,9.805778,-84.579806,62
31d1cdb8-d0da-11f0-9ba0-fc3fdb83b633,9.806111,-84.578583,59
31d1ce09-d0da-11f0-9ba0-fc3fdb83b633,9.805833,-84.579417,
31d1ce5a-d0da-11f0-9ba0-fc3fdb83b633,9.806111,-84.578583,
31d1ceab-d0da-11f0-9ba0-fc3fdb83b633,9.804333,-84.580389,
31d1cf2c-d0da-11f0-9ba0-fc3fdb83b633,9.804333,-84.580389,44
31d1cf83-d0da-11f0-9ba0-fc3fdb83b633,9.805194,-84.580861,
31d1cfda-d0da-11f0-9ba0-fc3fdb83b633,9.805222,-84.581278,65
31d1d02d-d0da-11f0-9ba0-fc3fdb83b633,9.804861,-84.581639,59
31d1d07e-d0da-11f0-9ba0-fc3fdb83b633,9.792444,-84.601639,
31d1d0d3-d0da-11f0-9ba0-fc3fdb83b633,9.791944,-84.601667,9
31d1d129-d0da-11f0-9ba0-fc3fdb83b633,9.792444,-84.601639,38
31d1d179-d0da-11f0-9ba0-fc3fdb83b633,9.793111,-84.600972,
31d1d1cd-d0da-11f0-9ba0-fc3fdb83b633,9.793111,-84.600972,35
31d1d21d-d0da-11f0-9ba0-fc3fdb83b633,9.792583,-84.600889,
31d1d272-d0da-11f0-9ba0-fc3fdb83b633,9.778222,-84.606528,10
31d1d2c2-d0da-11f0-9ba0-fc3fdb83b633,9.778222,-84.606528,
31d1d313-d0da-11f0-9ba0-fc3fdb83b633,9.777778,-84.606306,
31d1d365-d0da-11f0-9ba0-fc3fdb83b633,9.776861,-84.605889,
31d1d3bb-d0da-11f0-9ba0-fc3fdb83b633,9.776861,-84.605889,21
31d1d40b-d0da-11f0-9ba0-fc3fdb83b633,9.776389,-84.606111,
31d1d45b-d0da-11f0-9ba0-fc3fdb83b633,9.775778,-84.606278,
31d1d4ac-d0da-11f0-9ba0-fc3fdb83b633,9.775278,-84.60625,
31d1d4fd-d0da-11f0-9ba0-fc3fdb83b633,9.775111,-84.606139,
31d1d54d-d0da-11f0-9ba0-fc3fdb83b633,9.774722,-84.606389,
31d1d5a1-d0da-11f0-9ba0-fc3fdb83b633,9.774722,-84.606389,6
31d1d5f7-d0da-11f0-9ba0-fc3fdb83b633,9.774722,-84.606389,29
31d1d64a-d0da-11f0-9ba0-fc3fdb83b633,9.776833,-84.605472,
31d1d69c-d0da-11f0-9ba0-fc3fdb83b633,9.776833,-84.605472,30
31d1d6f1-d0da-11f0-9ba0-fc3fdb83b633,9.776389,-84.605278,32
31d1d743-d0da-11f0-9ba0-fc3fdb83b633,9.776306,-84.60525,
31d1d797-d0da-11f0-9ba0-fc3fdb83b633,9.776306,-84.60525,32
31d1d7ed-d0da-11f0-9ba0-fc3fdb83b633,9.776389,-84.606944,33
31d1d83d-d0da-11f0-9ba0-fc3fdb83b633,9.776194,-84.605222,
31d1d88f-d0da-11f0-9ba0-fc3fdb83b633,9.775528,-84.605333,
31d1d8e5-d0da-11f0-9ba0-fc3fdb83b633,9.775528,-84.605333,34
31d1d93b-d0da-11f0-9ba0-fc3fdb83b633,9.775139,-84.605861,
31d1d98c-d0da-11f0-9ba0-fc3fdb83b633,9.774583,-84.605417,
31d1d9df-d0da-11f0-9ba0-fc3fdb83b633,9.774583,-84.605417,42
31d1da34-d0da-11f0-9ba0-fc3fdb83b633,9.774028,-84.605111,43
31d1da84-d0da-11f0-9ba0-fc3fdb83b633,9.774028,-84.605111,
31d1dad5-d0da-11f0-9ba0-fc3fdb83b633,9.770444,-84.604722,
31d1db28-d0da-11f0-9ba0-fc3fdb83b633,9.770417,-84.604583,
31d1db78-d0da-11f0-9ba0-fc3fdb83b633,9.770278,-84.603389,
31d1dbcb-d0da-11f0-9ba0-fc3fdb83b633,9.770278,-84.603389,59
31d1dc20-d0da-11f0-9ba0-fc3fdb83b633,9.770139,-84.603333,62
31d1dc72-d0da-11f0-9ba0-fc3fdb83b633,9.77,-84.603333,
31d1dcc8-d0da-11f0-9ba0-fc3fdb83b633,9.770278,-84.603389,72
31d1dd19-d0da-11f0-9ba0-fc3fdb83b633,9.771,-84.60225,
31d1dd6c-d0da-11f0-9ba0-fc3fdb83b633,9.771222,-84.602417,72
31d1ddbd-d0da-11f0-9ba0-fc3fdb83b633,9.771222,-84.602417,
31d1de0f-d0da-11f0-9ba0-fc3fdb83b633,9.771222,-84.602444,
31d1de63-d0da-11f0-9ba0-fc3fdb83b633,9.771222,-84.602444,73
31d1deb6-d0da-11f0-9ba0-fc3fdb83b633,9.771861,-84.6025,
31d1df09-d0da-11f0-9ba0-fc3fdb83b633,9.771861,-84.6025,74
31d1df5e-d0da-11f0-9ba0-fc3fdb83b633,9.794861,-84.59375,
31d1dfaf-d0da-11f0-9ba0-fc3fdb83b633,9.794139,-84.595306,
31d1dffe-d0da-11f0-9ba0-fc3fdb83b633,9.793056,-84.597222,
31d1e04f-d0da-11f0-9ba0-fc3fdb83b633,9.793333,-84.597222,
31d1e097-d0da-11f0-9ba0-fc3fdb83b633,9.796667,-84.596389,
31d1e0e2-d0da-11f0-9ba0-fc3fdb83b633,9.795833,-84.595833,
31d1e12e-d0da-11f0-9ba0-fc3fdb83b633,9.796278,-84.593139,
31d1e17d-d0da-11f0-9ba0-fc3fdb83b633,9.806944,-84.577778,
31d1e1ce-d0da-11f0-9ba0-fc3fdb83b633,9.778333,-84.605972,
31d1e21d-d0da-11f0-9ba0-fc3fdb83b633,9.777778,-84.605917,
31d1e26d-d0da-11f0-9ba0-fc3fdb83b633,9.7775,-84.605972,
