id,idAislamiento,Tipo,Resultado
3feb8117-d0da-11f0-9ba0-fc3fdb83b633,322f8bd0-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3fee67d1-d0da-11f0-9ba0-fc3fdb83b633,3314bff4-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/ANTI-BACTERIAL,3-A
3ff28183-d0da-11f0-9ba0-fc3fdb83b633,33e07f5e-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff29a65-d0da-11f0-9ba0-fc3fdb83b633,33e47f90-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff3b195-d0da-11f0-9ba0-fc3fdb83b633,33fac7bd-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff3b835-d0da-11f0-9ba0-fc3fdb83b633,33fb62b6-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff3c7af-d0da-11f0-9ba0-fc3fdb83b633,33fcd121-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff44b3c-d0da-11f0-9ba0-fc3fdb83b633,34061865-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff56fec-d0da-11f0-9ba0-fc3fdb83b633,341bcf03-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff77eb6-d0da-11f0-9ba0-fc3fdb83b633,34371338-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff81eca-d0da-11f0-9ba0-fc3fdb83b633,3447e56b-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: CELL DIVISION,2-A
3ff8818e-d0da-11f0-9ba0-fc3fdb83b633,34523891-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ff8b34f-d0da-11f0-9ba0-fc3fdb83b633,345856fa-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
3ffb285d-d0da-11f0-9ba0-fc3fdb83b633,3495f0f6-d0da-11f0-9ba0-fc3fdb83b633,ICBG-R21/OTHER: INHIBIT KINASE TRANSLOCATION,VERDADERO-A
