id,MetodoIdentificacion,CodigoAccesoGenBank,IdentificadorResponsable
3027edbd-d0da-11f0-9ba0-fc3fdb83b633,,,
3027f4ae-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f585-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f5d4-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f61f-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f666-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f6a8-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f6e8-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f72c-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f76b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f7b2-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f7f9-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f83b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f87b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f8bd-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f8fd-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f93e-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f97f-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027f9bf-d0da-11f0-9ba0-fc3fdb83b633,,,
3027fa00-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fa41-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fa83-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fac3-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fb04-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fb45-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fb87-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fbc7-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fc09-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fc49-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fc8b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fccd-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fd10-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fd52-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fd92-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fdd3-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fe12-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3027fe55-d0da-11f0-9ba0-fc3fdb83b633,,,
3027fe95-d0da-11f0-9ba0-fc3fdb83b633,,,
3027fed4-d0da-11f0-9ba0-fc3fdb83b633,,,
3027ff14-d0da-11f0-9ba0-fc3fdb83b633,,,
3027ff56-d0da-11f0-9ba0-fc3fdb83b633,,,
3027ff97-d0da-11f0-9ba0-fc3fdb83b633,,,
3027ffd7-d0da-11f0-9ba0-fc3fdb83b633,,,
30280016-d0da-11f0-9ba0-fc3fdb83b633,,,
30280057-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280099-d0da-11f0-9ba0-fc3fdb83b633,,,
302800d9-d0da-11f0-9ba0-fc3fdb83b633,,,
3028011a-d0da-11f0-9ba0-fc3fdb83b633,,,
3028015b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3028019b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
302801dd-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3028021a-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3028025b-d0da-11f0-9ba0-fc3fdb83b633,,,
3028029a-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
302802dc-d0da-11f0-9ba0-fc3fdb83b633,,,
3028031c-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3028035b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
3028039b-d0da-11f0-9ba0-fc3fdb83b633,,,C.MURILLO
302803db-d0da-11f0-9ba0-fc3fdb83b633,,,
3028041e-d0da-11f0-9ba0-fc3fdb83b633,,,
3028045f-d0da-11f0-9ba0-fc3fdb83b633,,,
3028049e-d0da-11f0-9ba0-fc3fdb83b633,,,
302804de-d0da-11f0-9ba0-fc3fdb83b633,,,
3028051d-d0da-11f0-9ba0-fc3fdb83b633,,,
3028055e-d0da-11f0-9ba0-fc3fdb83b633,,,
3028059d-d0da-11f0-9ba0-fc3fdb83b633,,,
302805dc-d0da-11f0-9ba0-fc3fdb83b633,,,
3028061b-d0da-11f0-9ba0-fc3fdb83b633,,,
3028065b-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
302806a1-d0da-11f0-9ba0-fc3fdb83b633,,,
302806e3-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280724-d0da-11f0-9ba0-fc3fdb83b633,,,
30280764-d0da-11f0-9ba0-fc3fdb83b633,,,
302807a3-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
302807e2-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280822-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280863-d0da-11f0-9ba0-fc3fdb83b633,,,
302808a3-d0da-11f0-9ba0-fc3fdb83b633,,,
302808e3-d0da-11f0-9ba0-fc3fdb83b633,,,
30280925-d0da-11f0-9ba0-fc3fdb83b633,,,
30280966-d0da-11f0-9ba0-fc3fdb83b633,,,
302809a9-d0da-11f0-9ba0-fc3fdb83b633,,,
302809e8-d0da-11f0-9ba0-fc3fdb83b633,,,
30280a28-d0da-11f0-9ba0-fc3fdb83b633,,,
30280a6a-d0da-11f0-9ba0-fc3fdb83b633,,,
30280aaa-d0da-11f0-9ba0-fc3fdb83b633,,,
30280aec-d0da-11f0-9ba0-fc3fdb83b633,,,
30280b2c-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280b6c-d0da-11f0-9ba0-fc3fdb83b633,,,
30280bac-d0da-11f0-9ba0-fc3fdb83b633,,,
30280bec-d0da-11f0-9ba0-fc3fdb83b633,,,
30280c2c-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280c75-d0da-11f0-9ba0-fc3fdb83b633,,,
30280cb6-d0da-11f0-9ba0-fc3fdb83b633,,,
30280cf7-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280d38-d0da-11f0-9ba0-fc3fdb83b633,,,
30280d7a-d0da-11f0-9ba0-fc3fdb83b633,,,
30280dbc-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30280dfc-d0da-11f0-9ba0-fc3fdb83b633,,,
30280e78-d0da-11f0-9ba0-fc3fdb83b633,,,
30280ee7-d0da-11f0-9ba0-fc3fdb83b633,,,
30280f2a-d0da-11f0-9ba0-fc3fdb83b633,,,
3028136d-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
302813dd-d0da-11f0-9ba0-fc3fdb83b633,,,
30281433-d0da-11f0-9ba0-fc3fdb83b633,,,
30281491-d0da-11f0-9ba0-fc3fdb83b633,,,
302814dd-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30281523-d0da-11f0-9ba0-fc3fdb83b633,,,
30281568-d0da-11f0-9ba0-fc3fdb83b633,,,
302815ad-d0da-11f0-9ba0-fc3fdb83b633,,,
302815f4-d0da-11f0-9ba0-fc3fdb83b633,,,
30281638-d0da-11f0-9ba0-fc3fdb83b633,,,
3028167d-d0da-11f0-9ba0-fc3fdb83b633,,,
302816c3-d0da-11f0-9ba0-fc3fdb83b633,,,
30281707-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
3028174c-d0da-11f0-9ba0-fc3fdb83b633,,,
30281793-d0da-11f0-9ba0-fc3fdb83b633,,,
302817d6-d0da-11f0-9ba0-fc3fdb83b633,,,
3028181a-d0da-11f0-9ba0-fc3fdb83b633,,,
3028185f-d0da-11f0-9ba0-fc3fdb83b633,,,
302818a4-d0da-11f0-9ba0-fc3fdb83b633,,,
302818e9-d0da-11f0-9ba0-fc3fdb83b633,,,L.UMAÑA
30281933-d0da-11f0-9ba0-fc3fdb83b633,,,
30281979-d0da-11f0-9ba0-fc3fdb83b633,,,
302819be-d0da-11f0-9ba0-fc3fdb83b633,,,
30281a04-d0da-11f0-9ba0-fc3fdb83b633,,,
30281a4a-d0da-11f0-9ba0-fc3fdb83b633,,,
302e55da-d0da-11f0-9ba0-fc3fdb83b633,,,
302e57fb-d0da-11f0-9ba0-fc3fdb83b633,,,
302e5855-d0da-11f0-9ba0-fc3fdb83b633,,,
302e58a0-d0da-11f0-9ba0-fc3fdb83b633,,,
302e58e4-d0da-11f0-9ba0-fc3fdb83b633,,,
302e592f-d0da-11f0-9ba0-fc3fdb83b633,,,
