id,Tipo,Reino,Filo,Clase,Orden,Familia,Genero,Especie
3027edbd-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,,,,,,
3027f4ae-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,Pestalotiopsis mangifolia
3027f585-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,PHYLACHORACEAE,COLLETOTRICHUM,Colletotrichum boninense
3027f5d4-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium,Chaetomium cupreum
3027f61f-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,XYLARIACEAE,NODULISPORIUM,Daldinia loculata
3027f666-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Dothideomycetes,DOTHIDEALES,Botryosphaeriaceae,Neoscytalidium,Neoscytalidium dimidiatum
3027f6a8-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,HYPOCREALES,Nectriaceae,Cosmospora,Cosmospora butyri
3027f6e8-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,DIAPORTHALES,VALSACEA,PHOMOPSIS,Phomopsis longicolla
3027f72c-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,HYPOCREALES,Nectriaceae,Albonectria,Albonectria rigidiuscula
3027f76b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Diaporthales,VALSACEA,Phomopsis,Phomopsis oryzae
3027f7b2-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,DIAPORTHALES,VALSACEA,PHOMOPSIS,Phomopsis columnaris
3027f7f9-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Dothideomycetes,Mycosphaerellales,MYCOSPHAERELLACEAE,Pseudocercospora,Pseudocercospora macrospora
3027f83b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Dothideomycetes,DOTHIDEALES,Phyllostictaceae,Phyllosticta,Phyllosticta capitalensis
3027f87b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,PHYLACHORACEAE,COLLETOTRICHUM,Colletotrichum sp FLS_2010
3027f8bd-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,Xylariaceae,Hypoxylon,Hypoxylon perforatum
3027f8fd-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,PHYLACHORACEAE,COLLETOTRICHUM,Colletotrichum magnum
3027f93e-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Diaporthales,VALSACEA,PHOMOPSIS,Diaporthe conorum
3027f97f-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,DIAPORTHALES,VALSACEA,PHOMOPSIS,Diaporthe stewartii
3027f9bf-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum boninense
3027fa00-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PLEOSPORALES,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella melonis
3027fa41-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,PHYLLACHORALES,PHYLACHORACEAE,Colletotrichum,Colletotrichum ignotum
3027fa83-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,TRICHOCOMACEAE,PENICILLIUM,Penicillium paxilli
3027fac3-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,Glomerellaceae,Colletotrichum,Colletotrichum taiwanense
3027fb04-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,XYLARIACEAE,Pestalotiopsis,Pestalotiopsis mangifolia
3027fb45-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Diaporthales,VALSACEA,PHOMOPSIS,Diaporthe sp FLS_2010
3027fb87-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Cyphellophora,Cyphellophora guyanensis
3027fbc7-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Dothideomycetes,MYCOPHAERELLALES,MYCOSPHAERELLACEAE,CLADOSPORIUM,Cladosporium colocasiae
3027fc09-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Dothideomycetes,PLEOSPORALES,Corynesporascaceae,CORYNESPORA,Corynespora cassiicola
3027fc49-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Dothideomycetes,PLEOSPORALES,INCERTAE SEDIS,PHOMA,Phoma exigua
3027fc8b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,DIATRYPACEAE,EUTYPELLA,Eutypa sp 2 CCG_2012
3027fccd-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,Phyllostictaceae,Phyllosticta,Phyllosticta capitalensis
3027fd10-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe stewartii
3027fd52-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,Xylariales,PHYLACHORACEAE,Pestalotiopsis,Pestalotiopsis mangifolia
3027fd92-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,XYLARIACEAE,NODULISPORIUM,Hypoxylon investiens
3027fdd3-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,XYLARIACEAE,XYLARIA,Xylaria longipes
3027fe12-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,XYLARIACEAE,XYLARIA,Entonaema pallida
3027fe55-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria adscendens
3027fe95-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria enteroleuca
3027fed4-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon investiens
3027ff14-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Xylariales,Hyponectriaceae,Microdochium,Microdochium bolleyi
3027ff56-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum dracaenophilum
3027ff97-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta capitalensis
3027ffd7-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,Cladosporium colocasiae
30280016-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,Stagonosporopsis cucurbitacearum
30280057-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella sp AA_2012
30280099-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Paraconiothyrium,Paraconiothyrium brasiliense
302800d9-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Mycoleptodiscus,Mycoleptodiscus indicus
3028011a-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Septoria,Septoria scabiosicola
3028015b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,Xylariaceae,Hypoxylon,Hypoxylon investiens
3028019b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,Xylariaceae,PHOMOPSIS,Hypoxylon investiens
302801dd-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,PHYLACHORACEAE,COLLETOTRICHUM,Colletotrichum cliviae
3028021a-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,Glomerellaceae,Diaporthe,Diaporthe stewartii
3028025b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum magnum
3028029a-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,PHYLLACHORALES,PHYLACHORACEAE,COLLETOTRICHUM,Colletotrichum tropicale
302802dc-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum tropicale
3028031c-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,XYLARIALES,XYLARIACEAE,NODULISPORIUM,Daldinia eschscholzii
3028035b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Sordariomycetes,DIAPORTHALES,Diaporthaceae,Diaporthe,Phomopsis longicolla
3028039b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,Eurotiomycetes,EUROTIALES,TRICHOCOMACEAE,PENICILLIUM,Penicillium paxilli
302803db-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Discosia,Discosia sp 7 KT_2010
3028041e-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,Coprinellus disseminatus
3028045f-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe australafricana
3028049e-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum gloeosporioides
302804de-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria grammica
3028051d-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum boninense
3028055e-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe passiflorae
3028059d-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum clavatum
302805dc-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Gloeosporium,Gloeosporium phormii
3028061b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria longipes
3028065b-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,ASCOMYCETES,XYLARIALES,XYLARIACEAE,XYLARIA,
302806a1-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Hypoxylon,Hypoxylon fendleri
302806e3-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,ASCOMYCOTA,ASCOMYCETES,DOTHIDEALES,BOTRYOSPHAERIACEAE,PHYLLOSTICTA,
30280724-d0da-11f0-9ba0-fc3fdb83b633,Hongo,FUNGI,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum taiwanense
