id,Nombre,EsAreaProtegida,NombreAreaProtegida,ReferenciasAdicionales
3190bf06-d0da-11f0-9ba0-fc3fdb83b633,,false,,
3190c1b7-d0da-11f0-9ba0-fc3fdb83b633,,true,carara,Sobre el sendero Quebrada Bonita. Antes del puente de metal
3190c323-d0da-11f0-9ba0-fc3fdb83b633,2 km después de la entrada al sendero La Montura. Ruta a Guápiles,true,PN. Braulio Carrillo,
3190c382-d0da-11f0-9ba0-fc3fdb83b633,A la mitad de la ladera del cerro junto al río Zurquí,true,PN. Braulio Carrillo,
3190c3d6-d0da-11f0-9ba0-fc3fdb83b633,A orillas de un brazo del río Costa Rica. Cerca de la entrada,true,Reserva Biológica Bosque Lluvioso,
3190c41c-d0da-11f0-9ba0-fc3fdb83b633,Alrededores de la entrada del sendero La Botella,true,PN. Braulio Carrillo,
3190c459-d0da-11f0-9ba0-fc3fdb83b633,Alrededores de la entrada del sendero La Montura,true,PN. Braulio Carrillo,
3190c495-d0da-11f0-9ba0-fc3fdb83b633,Alrededores de las casas,true,Reserva Biológica Bosque Lluvioso,
3190c4d8-d0da-11f0-9ba0-fc3fdb83b633,Alrededores de las instalaciones,true,Reserva Biológica Bosque Lluvioso,
3190c513-d0da-11f0-9ba0-fc3fdb83b633,Alrededores de los senderos,true,Area no Protegida,
3190c550-d0da-11f0-9ba0-fc3fdb83b633,Alrededores del área de acampar y plaza,true,RF Grecia,
3190c58b-d0da-11f0-9ba0-fc3fdb83b633,Alrededores del cráter principal,true,PN Volcán Irazu,
3190c5ca-d0da-11f0-9ba0-fc3fdb83b633,Alrededores del portón de entrada al parque. Primeros 100 m.,true,PN Volcán Poás,
3190c606-d0da-11f0-9ba0-fc3fdb83b633,Antigua lechería,true,RB Cerro las Vueltas,
3190c644-d0da-11f0-9ba0-fc3fdb83b633,Área en regeneración. 500 m. antes de la casetilla de cobro.,true,PN Volcán Poás,
3190c67e-d0da-11f0-9ba0-fc3fdb83b633,Bajo de la Hondura. Parte alta al inicio de la entrada,true,PN. Braulio Carrillo,
3190c6bd-d0da-11f0-9ba0-fc3fdb83b633,Borde de bosque al costado oeste de las instalaciones,true,Reserva Biológica Bosque Lluvioso,
3190c6fa-d0da-11f0-9ba0-fc3fdb83b633,Borde de bosque y pastizal al  oeste de las instalaciones,true,Reserva Biológica Bosque Lluvioso,
3190c737-d0da-11f0-9ba0-fc3fdb83b633,"Carretera a Guápiles. 1,5 km antes de la entrada al sendero La Botella",true,PN. Braulio Carrillo,
3190c773-d0da-11f0-9ba0-fc3fdb83b633,Cerca de la entrada al mirador de Playa Naranjo,true,PN Santa Rosa,
3190c7af-d0da-11f0-9ba0-fc3fdb83b633,Cerca de la entrada la mirador de Playa Naranjo,true,PN Santa Rosa,
3190c7e9-d0da-11f0-9ba0-fc3fdb83b633,Cerro Porfia,true,PN Volcán Turrialba,
3190c872-d0da-11f0-9ba0-fc3fdb83b633,Cima del Volcán Cacao,true,PN Guanacaste,
3190c8bc-d0da-11f0-9ba0-fc3fdb83b633,El Ceibo. Hacia el sendero Altitudinal,true,PN. Braulio Carrillo,
3190c8fc-d0da-11f0-9ba0-fc3fdb83b633,El Ceibo. Orillas del río Peje,true,PN. Braulio Carrillo,
3190c93a-d0da-11f0-9ba0-fc3fdb83b633,El Relleno. A orilla de calle junto a la entrada al sendero.,true,PN. Braulio Carrillo,
3190c976-d0da-11f0-9ba0-fc3fdb83b633,El Relleno. Subiendo hacia la estación meteorológica.,true,PN. Braulio Carrillo,
3190c9bc-d0da-11f0-9ba0-fc3fdb83b633,Entrando al mirador en el cruce entre senderos Lomas y Frutales,true,Reserva Biológica Bosque Lluvioso,
3190ca02-d0da-11f0-9ba0-fc3fdb83b633,Estación Barva. 100 m antes de la nueva estación,true,PN. Braulio Carrillo,
3190ca3e-d0da-11f0-9ba0-fc3fdb83b633,Estación Barva. Alrededor del mirador de la laguna Barva.,true,PN. Braulio Carrillo,
3190ca79-d0da-11f0-9ba0-fc3fdb83b633,Estación Barva. Alrededores de la laguna Copey,true,PN. Braulio Carrillo,
3190cabb-d0da-11f0-9ba0-fc3fdb83b633,Estación Barva. Entrada al Mirador Vara Blanca,true,PN. Braulio Carrillo,
3190cafb-d0da-11f0-9ba0-fc3fdb83b633,Estación Barva. Entrando al mirador Vara Blanca. Primeros 100 metros.,true,PN. Braulio Carrillo,
3190cb3d-d0da-11f0-9ba0-fc3fdb83b633,Estación Barva. Sendero a la laguna Barva. 200 m antes del cruce con el sendero a la laguna Copey,true,PN. Braulio Carrillo,
3190cb7b-d0da-11f0-9ba0-fc3fdb83b633,Estero Cuchillo,true,PN Palo Verde,
3190cbb6-d0da-11f0-9ba0-fc3fdb83b633,Inicio del sendero a la laguna Botos,true,PN Volcán Poás,
3190cbf0-d0da-11f0-9ba0-fc3fdb83b633,Isla San José. Área de acampar,true,PN Santa Rosa,
3190cc2a-d0da-11f0-9ba0-fc3fdb83b633,La Ventana. Alrededores,true,PN. Braulio Carrillo,
3190cc63-d0da-11f0-9ba0-fc3fdb83b633,Laguna,true,Area no protegida,
3190cc9e-d0da-11f0-9ba0-fc3fdb83b633,Laguna Copey,true,PN. Braulio Carrillo,
3190ccda-d0da-11f0-9ba0-fc3fdb83b633,Límite norte. Entrando por Colonia Cubujuquí,true,PN. Braulio Carrillo,
3190cd14-d0da-11f0-9ba0-fc3fdb83b633,Límite sur. Camino a Cerro Zurquí,true,PN. Braulio Carrillo,
3190cd50-d0da-11f0-9ba0-fc3fdb83b633,Límite trasero,true,Reserva Biológica Bosque Lluvioso,
3190cd8c-d0da-11f0-9ba0-fc3fdb83b633,Los Naranjos. Al inicio del bosque entrando por la finca ganadera,true,Finca del Estado Los Naranjos,
3190cdca-d0da-11f0-9ba0-fc3fdb83b633,Magsasay limite con el Río Peje. Del cruce sobre el río 100 m aguas abajo.,true,PN. Braulio Carrillo,
3190ce0b-d0da-11f0-9ba0-fc3fdb83b633,"Magsasay limite con el Río Peje. Del cruce sobre el río 250 m aguas abajo, en brzo seco del río.",true,PN. Braulio Carrillo,
3190ce49-d0da-11f0-9ba0-fc3fdb83b633,"Magsasay, Transecto altitudinal a unos 5 km del Puesto de Magsasay",true,PN. Braulio Carrillo,
3190ce86-d0da-11f0-9ba0-fc3fdb83b633,Magsasay. El cruce del Río Peje 300 - 400 m por el transecto altitudinal.,true,PN. Braulio Carrillo,
3190cec4-d0da-11f0-9ba0-fc3fdb83b633,"Magsasay. El cruce del Río Peje 800 - 900 m por el transecto altitudinal, cruce a la Selva.",true,PN. Braulio Carrillo,
3190cf01-d0da-11f0-9ba0-fc3fdb83b633,Magsasay. Transecto dirección a la Selva 400 - 500 m del cruce.,true,PN. Braulio Carrillo,
3190cf3a-d0da-11f0-9ba0-fc3fdb83b633,Manzanillo. Hacia la punta.,true,RVS Gandoca Manzanillo,
3190cf74-d0da-11f0-9ba0-fc3fdb83b633,Naranjo. Empezando el manglar,true,PN Santa Rosa,
3190cfb0-d0da-11f0-9ba0-fc3fdb83b633,Naranjo. Laguna Limbo,true,PN Santa Rosa,
3190cfeb-d0da-11f0-9ba0-fc3fdb83b633,Naranjo. Sendero Carbonal,true,PN Santa Rosa,
3190d027-d0da-11f0-9ba0-fc3fdb83b633,Orillas del río Achiote. Entrando por el sendero de la toma de agua,true,RF Grecia,
3190d060-d0da-11f0-9ba0-fc3fdb83b633,Orillas del río Agua Caliente,true,PN Volcán Arenal,
3190d09d-d0da-11f0-9ba0-fc3fdb83b633,Pailas. Sendero a la toma de agua,true,PN Rincón de la Vieja,
3190d0d5-d0da-11f0-9ba0-fc3fdb83b633,Prusia. Farallones,true,PN Volcán Irazu,
3190d111-d0da-11f0-9ba0-fc3fdb83b633,Puerto Vargas. 200 m después de la casetilla de ingreso,true,PN Cahuita,
3190d14d-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN Santa Rosa,
3190d18b-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,A ORILLAS DEL SENDERO A COOPECARARA. EN EL PRIMER KILÓMETRO
3190d1ca-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,ALREDEDORES DE LA ESTACIÓN DE GUARDAPARQUES
3190d205-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,ALREDEDORES DE LAS INSTALACIONES DE GUARDAPARQUES
3190d23e-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,ALREDEDORES DEL SENDERO PARA DISCAPACITADOS
3190d27e-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,"ALREDEDORES DEL SENDERO PARA DISCAPACITADOS, TOMANDO EL SENDERO A QUEBRADA BONITA"
3190d2ba-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,Alrededores del Sendero Universal
3190d2f4-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,CERCA DEL SENDERO A LA DERECHA DE LA LAGUNA MEÁNDRICA
3190d32d-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,CRUCE DEL CAMINO A COOPECARARA CON EL RÍO CARARA
3190d368-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,EN LA ENTRADA DEL ANTIGUO PUESTO DE CARARA.
3190d3a6-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,INICIANDO EL SENDERO HACIA COOPECARARA. EN EL LÍMITE DEL PARQUE
3190d3e2-d0da-11f0-9ba0-fc3fdb83b633,"PUNTARENAS, GARABITO",true,PN. Carara,Junto a la estacion
